Series,V,A,Time,Concentration
RS_S02_INC-1,50,0.000298,24,7.48
RS_S02_INC-1,50,0.000298,26,7.55
RS_S02_INC-1,50,0.000298,28,7.45
RS_S02_INC-1,50,0.000298,30,7.52
RS_S02_INC-1,50,0.000298,32,7.52
RS_S02_INC-1,50,0.000298,34,7.38
RS_S02_INC-1,50,0.000298,36,7.41
RS_S02_INC-1,50,0.000298,38,7.5
RS_S02_INC-1,50,0.000298,40,7.33
RS_S02_INC-1,50,0.000298,42,7.42
RS_S02_INC-1,50,0.000298,44,7.42
RS_S02_INC-1,50,0.000298,46,7.38
RS_S02_INC-1,50,0.000298,48,7.41
RS_S02_INC-1,50,0.000298,50,7.4
RS_S02_INC-1,50,0.000298,52,7.35
RS_S02_INC-1,50,0.000298,54,7.49
RS_S02_INC-1,50,0.000298,56,7.35
RS_S02_INC-1,50,0.000298,58,7.34
RS_S02_INC-1,50,0.000298,60,7.52
RS_S02_INC-1,50,0.000298,62,7.35
RS_S02_INC-1,50,0.000298,64,7.42
RS_S02_INC-1,50,0.000298,66,7.45
RS_S02_INC-1,50,0.000298,68,7.35
RS_S02_INC-1,50,0.000298,70,7.4
RS_S02_INC-1,50,0.000298,72,7.38
RS_S02_INC-1,50,0.000298,74,7.35
RS_S02_INC-1,50,0.000298,76,7.4
RS_S02_INC-1,50,0.000298,78,7.35
RS_S02_INC-1,50,0.000298,80,7.34
RS_S02_INC-1,50,0.000298,82,7.45
RS_S02_INC-1,50,0.000298,84,7.38
RS_S02_INC-1,50,0.000298,86,7.4
RS_S02_INC-1,50,0.000298,88,7.45
RS_S02_INC-1,50,0.000298,90,7.36
RS_S02_INC-1,50,0.000298,92,7.38
RS_S02_INC-1,50,0.000298,94,7.39
RS_S02_INC-1,50,0.000298,96,7.37
RS_S02_INC-1,50,0.000298,98,7.35
RS_S02_INC-1,50,0.000298,100,7.31
RS_S02_INC-1,50,0.000298,102,7.38
RS_S02_INC-1,50,0.000298,104,7.4
RS_S02_INC-1,50,0.000298,106,7.29
RS_S02_INC-1,50,0.000298,108,7.37
RS_S02_INC-1,50,0.000298,110,7.5
RS_S03_INC-1,50,0.000298,0,9.09
RS_S03_INC-1,50,0.000298,2,8.83
RS_S03_INC-1,50,0.000298,4,8.8
RS_S03_INC-1,50,0.000298,6,8.73
RS_S03_INC-1,50,0.000298,8,8.89
RS_S03_INC-1,50,0.000298,10,8.89
RS_S03_INC-1,50,0.000298,12,8.86
RS_S03_INC-1,50,0.000298,14,8.86
RS_S03_INC-1,50,0.000298,16,8.95
RS_S03_INC-1,50,0.000298,18,8.92
RS_S03_INC-1,50,0.000298,20,8.89
RS_S03_INC-1,50,0.000298,22,8.87
RS_S03_INC-1,50,0.000298,24,8.92
RS_S03_INC-1,50,0.000298,26,8.84
RS_S03_INC-1,50,0.000298,28,8.92
RS_S03_INC-1,50,0.000298,30,8.94
RS_S03_INC-1,50,0.000298,32,8.91
RS_S03_INC-1,50,0.000298,34,8.85
RS_S03_INC-1,50,0.000298,36,8.8
RS_S03_INC-1,50,0.000298,38,8.9
RS_S03_INC-1,50,0.000298,40,8.87
RS_S03_INC-1,50,0.000298,42,8.88
RS_S03_INC-1,50,0.000298,44,8.95
RS_S03_INC-1,50,0.000298,46,8.85
RS_S03_INC-1,50,0.000298,48,8.86
RS_S03_INC-1,50,0.000298,50,8.87
RS_S03_INC-1,50,0.000298,52,8.94
RS_S03_INC-1,50,0.000298,54,8.84
RS_S03_INC-1,50,0.000298,56,8.81
RS_S03_INC-1,50,0.000298,58,8.92
RS_S03_INC-1,50,0.000298,60,8.84
RS_S03_INC-1,50,0.000298,62,8.85
